SERV_ID,INNET_DUR,ORG_DZS_ID,OFR_GRADE,CDE_OFR_CD,YD_CNT,TERMINAL_MODEL,BRAND_ID,MOBILE_PRICE,REL_AMT,PAY_MODE,OWE_AMOUNT,CUST_CNT,ZJ_CNT,BJ_CNT,ZJ_CNT_RATIO,ZJ_DUR,BJ_DUR,ZJ_DUR_RATIO,ZJ_PEOPLE_CNT,BJ_PEOPLE_CNT,ZJ_PEOPLE_RATIO,ZJ_AVG_CNT_RATIO,BJ_AVG_CNT_RATIO,ZJ_AVG_DUR,BJ_AVG_DUR,ZJ_CNT_DUR,BJ_CNT_DUR,ZJ_SHORT_CNT,ZJ_SHORT_CNT_RATIO,ZJ_MID_CNT,ZJ_MID_CNT_RATIO,ZJ_ROAM_CNT,ZJ_ROAM_CNT_RATIO,ZJ_LONG_CNT,ZJ_LONG_CNT_RATIO,ZJ_LONG_ROAM_RATIO,ZJ_ROAM_DUR,ZJ_ROAM_DUR_RATIO,ZJ_LONG_DUR,ZJ_LONG_DUR_RATIO,ZJ_LONG_ROAM_DUR_RATIO,ZJ_ROAM_AREA_CNT,ROAM_TOP_RATIO,SMS_CNT,DAY_CNT,FLOW_CNT,FLOW_MB,BASE_CNT,ZJ_BASE_TOP_RATIO,POINT_CNT
3822,30,10267.0,169,2072,3.0,5,3,1498.0,0.3,2,0.0,3,160,158,0.5031,262.2,213.0,0.5518,26.0,34.0,0.4333,6.15,4.65,10.08,6.26,1.64,1.35,28.0,0.175,78.0,0.4875,3,0.0188,0,0.0,0.0188,1.97,0.0075,0.0,0.0,0.0075,0,0.6667,1,31.0,1710,32594.35,14,0.65,0
13008,107,,129,200,3.0,17,4,6388.0,132.43,2,0.0,3,172,112,0.6056,290.48,182.82,0.6137,26.0,40.0,0.3939,6.62,2.8,11.17,4.57,1.69,1.63,21.0,0.1221,82.0,0.4767,172,1.0,74,0.4302,1.4302,290.48,1.0,82.7,0.2847,1.2847,2,0.4012,0,23.0,405,483.18,1,,0
15984,5,1837.0,79,1671,2.0,154,8,5688.0,1.0,2,0.0,2,2,5,0.2857,8.83,21.25,0.2936,2.0,3.0,0.4,1.0,1.67,4.42,7.08,4.42,4.25,0.0,0.0,0.0,0.0,0,0.0,1,0.5,0.5,0.0,0.0,2.57,0.2906,0.2906,1,0.0,2,1.0,2,3.07,2,0.5,0
18868,24,1768.0,79,1671,3.0,341,12,399.0,1.0,2,0.0,3,104,61,0.6303,210.08,185.6,0.5309,29.0,20.0,0.5918,3.59,3.05,7.24,9.28,2.02,3.04,5.0,0.0481,44.0,0.4231,9,0.0865,11,0.1058,0.1923,35.12,0.1672,40.53,0.1929,0.3601,3,0.7778,0,,0,0.0,15,0.3077,0
18982,59,2063.0,169,2005,3.0,282,13,2699.0,169.3,2,0.0,3,137,180,0.4322,382.38,309.45,0.5527,34.0,43.0,0.4416,4.03,4.19,11.25,7.2,2.79,1.72,6.0,0.0438,49.0,0.3577,0,0.0,12,0.0876,0.0876,0.0,0.0,88.67,0.2319,0.2319,1,0.0,0,31.0,1466,1595.06,24,0.3066,0
10159,29,2359.0,129,1353,2.0,319,27,299.0,9.0,2,0.0,2,19,8,0.7037,25.65,10.25,0.7145,11.0,6.0,0.6471,1.73,1.33,2.33,1.71,1.35,1.28,3.0,0.1579,10.0,0.5263,1,0.0526,5,0.2632,0.3158,0.53,0.0208,11.83,0.4613,0.4821,2,3.0,0,,0,0.0,5,0.7368,0
18140,29,30.0,79,1671,2.0,58,0,,79.1,2,0.0,2,20,25,0.4444,11.32,9.5,0.5436,5.0,5.0,0.5,4.0,5.0,2.26,1.9,0.57,0.38,8.0,0.4,9.0,0.45,0,0.0,1,0.05,0.05,0.0,0.0,1.77,0.1561,0.1561,1,0.0,0,15.0,52,83.14,8,0.45,1
17874,85,,129,1137,3.0,60,6,1299.0,4.4,2,0.0,3,64,38,0.6275,104.33,125.37,0.4542,16.0,13.0,0.5517,4.0,2.92,6.52,9.64,1.63,3.3,9.0,0.1406,32.0,0.5,0,0.0,8,0.125,0.125,0.0,0.0,35.08,0.3363,0.3363,5,0.0,0,,0,0.0,14,0.3438,2
9422,75,3.0,19,768,1.0,649,54,322.0,62.65,2,0.0,1,135,165,0.45,299.33,345.1,0.4645,26.0,37.0,0.4127,5.19,4.46,11.51,9.33,2.22,2.09,21.0,0.1556,51.0,0.3778,0,0.0,2,0.0148,0.0148,0.0,0.0,3.98,0.0133,0.0133,1,0.0,0,,0,0.0,23,0.3111,0
14104,60,397.0,129,1601,2.0,216,0,,129.0,2,0.0,2,29,30,0.4915,55.43,40.43,0.5782,6.0,7.0,0.4615,4.83,4.29,9.24,5.78,1.91,1.35,5.0,0.1724,16.0,0.5517,29,1.0,19,0.6552,1.6552,55.43,1.0,8.43,0.1521,1.1521,2,0.5517,0,31.0,2275,53773.04,1,,0
