SERV_ID,SCORE_1300,SCORE_1301,SCORE_1005,SCORE_1202,SCORE_1200,SCORE_1419,SCORE_1000,SCORE_1101,SCORE_1006,SCORE_1100,SCORE_1105,SCORE_1411,SCORE_1303,SCORE_1011,SCORE_1014,SCORE_1103,SCORE_1201,SCORE_1102,SCORE_1302,SCORE_1012,SCORE_1004,SCORE_1418,SCORE_1002,SCORE_1010,SCORE_1007,SCORE_1407,SCORE_1003,SCORE_1009,SCORE_1400,SCORE_1408
100373,84.2,52.81,77.39,89.92,99.92,31.28,99.99,87.06,97.71,93.49,99.99,31.67,59.47,6.57,5.09,,7.91,14.11,,,,,0.0,,,93.39,,,,
79779,91.95,85.14,97.13,89.95,98.01,79.65,98.77,94.31,72.12,97.27,98.66,90.19,26.09,16.25,86.76,7.29,99.88,23.76,,,55.24,,,,,,,,,
465392,30.84,14.84,43.94,59.34,28.46,91.04,9.45,9.63,6.65,5.6,0.0,72.78,44.59,,,,,,,,,,,,,24.31,,,,
116850,14.67,66.31,53.32,51.47,29.89,70.01,17.44,41.97,27.88,35.94,11.24,98.21,0.87,40.27,,,8.9,,,,,,,,,72.67,,,,
78111,90.29,68.21,62.86,47.35,64.11,44.83,13.69,32.89,37.95,35.02,52.39,70.9,0.19,51.35,,32.72,44.99,,,,,3.35,,,,,,,,
432066,6.53,9.45,38.52,54.16,12.76,67.46,0.0,0.82,14.42,11.23,0.0,21.73,,,,,0.0,,,22.18,,,1.22,,,12.02,,,,
189655,98.32,99.99,97.33,99.29,91.28,73.15,87.7,99.99,65.61,99.99,93.04,99.48,99.87,10.03,99.99,7.6,99.97,48.22,99.8,1.3,,1.85,,,,,82.7,,,
87330,0.0,2.25,39.82,51.99,30.04,78.21,99.81,10.29,19.53,29.93,0.68,76.67,33.67,,,,,,0.0,13.38,0.71,0.5,,,,23.27,,,,
33378,30.55,88.74,33.08,86.01,25.01,76.73,16.95,79.91,43.17,69.2,56.34,4.77,,7.9,,0.15,0.6,99.99,,5.13,0.0,,,,,,,,,
30384,4.63,33.7,5.77,32.68,12.72,38.73,14.08,16.58,24.25,3.57,20.61,50.35,16.4,5.63,6.93,1.59,,1.5,,,,,,,,46.7,,,,
13974,26.45,45.02,15.81,29.46,40.71,25.55,77.58,42.14,20.56,51.89,17.08,12.05,45.81,3.87,7.2,37.31,,,5.62,,,,,,,,,,,
408443,20.96,6.42,23.2,43.27,9.45,55.3,13.78,2.96,8.02,20.68,,71.27,43.93,,,,0.0,,,0.39,,0.89,,,,31.67,,,,
96993,14.91,7.3,22.73,10.46,13.75,22.37,,8.89,4.62,1.83,25.14,1.33,1.3,5.01,,0.15,,,,0.15,,,,,,,,,,
76085,26.58,11.69,28.48,18.65,35.55,51.36,15.69,10.04,46.35,,,25.1,,31.42,0.0,4.77,,,,,,,,,,,,,,
64098,99.98,88.25,85.85,95.96,37.22,78.56,3.32,59.43,18.44,99.92,61.95,97.9,10.56,35.44,,13.04,81.53,7.94,0.37,,,,,,,,,,,
224343,95.72,92.99,96.13,99.34,96.45,76.68,60.34,99.18,56.62,99.99,93.82,97.81,76.72,9.72,6.26,1.1,3.8,5.53,53.74,21.84,,,,,,,11.57,,,
61931,16.88,77.29,33.59,32.64,49.13,38.01,11.74,15.57,2.6,4.77,67.81,61.19,2.53,17.88,,4.5,23.44,,2.29,5.46,,,92.91,,,,,,,
51790,46.5,45.82,84.77,64.2,91.79,59.07,1.74,48.6,33.84,50.55,72.76,9.78,67.8,9.5,47.41,94.82,3.83,,,,,,,,,,,,,
95185,,0.0,,,,,,,,,,,,,,4.55,,,,,,,,,,,,,,
60118,43.53,57.78,71.59,47.6,11.82,0.48,10.23,50.04,3.39,51.41,98.53,13.83,0.7,4.49,,3.33,,80.02,,,,,,,,,,,,
136718,87.56,68.65,71.85,90.37,83.74,88.67,71.25,68.78,92.03,97.96,59.98,47.58,49.41,25.94,38.14,50.61,22.79,30.43,,0.0,10.87,,0.35,,,,5.86,,,
75364,79.12,54.9,66.43,72.81,74.4,84.22,26.92,55.26,60.99,79.2,60.13,75.79,65.58,19.65,,58.56,0.17,,,,,,,,,,,,,
79992,34.46,33.47,19.31,19.76,7.11,42.48,0.0,0.2,11.7,3.33,0.0,,0.0,0.0,2.0,0.17,,,0.0,,,2.17,,,,,,,,
36252,62.04,99.64,87.71,97.16,74.61,84.57,9.75,94.01,47.11,96.59,69.11,41.19,54.5,1.62,0.17,3.03,98.75,2.0,4.12,,2.66,,,,,,,,,
17271,0.88,0.76,0.0,0.0,0.0,,,,0.0,0.7,0.41,,,,,0.17,,,,,,,,,,,,,,
