SERV_ID,SCORE_1300,SCORE_1301,SCORE_1005,SCORE_1202,SCORE_1200,SCORE_1419,SCORE_1000,SCORE_1101,SCORE_1006,SCORE_1100,SCORE_1105,SCORE_1411,SCORE_1303,SCORE_1011,SCORE_1014,SCORE_1103,SCORE_1201,SCORE_1102,SCORE_1302,SCORE_1012,SCORE_1004,SCORE_1418,SCORE_1002,SCORE_1010,SCORE_1007,SCORE_1407,SCORE_1003,SCORE_1009,SCORE_1400,SCORE_1408,FLAG
441836,29.46,16.77,30.56,70.59,13.82,70.68,24.37,22.04,43.56,43.22,0.2,81.15,51.04,,,,18.27,52.45,,7.93,,0.7,,,,19.42,,,,,0
45563,16.69,26.33,65.47,88.31,41.23,81.05,31.25,84.6,57.91,55.18,0.45,64.71,87.65,0.0,,,,,0.15,,,,,,,62.21,,25.31,,,0
28472,25.27,95.79,35.37,58.07,49.29,55.42,9.9,10.9,51.16,24.84,9.63,41.72,12.92,26.92,34.34,5.21,2.95,18.01,1.91,0.71,,21.93,,,0.2,,,,,,1
78743,57.1,62.15,72.12,54.5,60.83,68.79,13.84,27.56,50.02,18.46,55.05,33.78,41.07,4.36,,2.02,0.0,22.82,,,,,,,,,,,,,1
20736,56.87,68.12,99.99,94.02,58.81,65.87,98.45,47.55,33.88,86.47,25.19,72.94,66.71,41.01,30.84,3.21,8.36,,,,,,,,,,,,,,1
65746,57.4,58.56,44.19,57.83,56.26,40.25,43.27,62.58,8.08,73.56,63.52,74.2,47.01,,,3.88,0.0,,,,,,,,,29.03,,,,,0
80317,32.73,39.8,13.75,61.72,19.6,49.37,0.19,32.76,9.0,64.02,6.73,53.85,24.89,45.41,9.14,11.58,,,,,,,,,,,,,,,0
86960,35.03,55.87,34.58,58.58,41.84,37.38,14.16,29.48,45.05,52.32,0.59,61.74,2.61,45.35,0.47,0.17,,,,,,,,,,,,,,,0
81444,71.6,80.91,72.28,99.31,99.9,99.92,34.51,23.67,60.4,48.76,18.2,52.24,73.64,57.57,,36.69,6.59,1.75,,,,,,,,,,,,,0
197629,42.07,27.85,45.52,78.69,52.53,86.51,47.31,78.3,55.93,78.41,1.43,53.42,55.06,,2.51,0.45,3.86,,,7.63,,,,,,0.53,,,,,0
36934,99.7,79.72,98.64,71.26,87.19,68.07,99.99,73.34,53.9,99.99,59.96,99.62,6.01,45.7,99.09,56.24,99.99,2.3,38.02,0.35,99.99,2.83,,,,,,,,,1
36576,63.01,71.2,70.1,73.05,98.35,64.09,19.82,93.4,63.93,81.83,16.44,91.5,62.35,1.38,,48.84,84.24,7.86,,7.01,99.99,,,13.87,7.94,14.74,,,,,0
26706,64.45,52.98,43.23,89.56,71.12,64.1,9.79,97.2,59.79,71.87,23.31,3.73,68.7,36.12,,0.16,1.43,,,,,,,,,,,,,,0
28479,79.41,42.53,68.43,81.21,99.73,66.11,43.95,40.0,21.63,42.63,2.17,83.03,72.64,25.29,,0.17,85.82,,,0.39,,,,,,,,67.73,,,0
27666,88.24,77.61,92.25,68.76,44.43,60.38,40.35,27.76,76.86,29.67,90.8,49.67,5.39,95.43,68.59,88.76,0.0,,23.18,,2.52,2.05,,1.77,,,,,,,0
30876,2.1,12.57,19.56,21.67,17.65,23.5,43.27,2.91,8.48,11.75,26.76,49.43,0.41,30.29,,5.67,,1.39,,,,,,,,,,,,,0
