SERV_ID,PROD_INST_STATE,GENDER,AGE,IN_NET_DUR,STAR_LEVEL,SCORE_POINT,RECV_RATE,CONSOLIDATE_SPEND,RM_MODE_CD,MOBILE_USER_NUMBER,IPTV_USER_NUMBER,BRD_CHARGE_11,BRD_CHARGE_10,BRD_CHARGE_09,OFFER_NAME_LEV1,ZHU_OFFER_VALUE,IS_HY,BRD_MBL_FLUX_11,BRD_MBL_FLUX_10,BRD_MBL_FLUX_09,BRD_CNT_11,BRD_CNT_10,BRD_CNT_09,ACTIVE_DAY_11,ACTIVE_DAY_10,ACTIVE_DAY_09,FLAG
105043,2HA,1.0,28.0,20,1.0,2717,8,8,FTTH接入,0,0,80.0,80.0,80.0,宽带,80.0,1,78126.17,81688.9,98849.5,183,189,148,28,31,30,0
107180,2HA,1.0,29.0,20,1.0,1278,50,50,FTTH接入,0,0,70.0,70.0,61.33,宽带,50.0,1,55372.61,42715.69,55432.62,23,30,39,17,17,21,0
109177,2HA,2.0,35.0,19,,480,50,50,FTTH接入,0,0,68.67,50.0,50.0,宽带,50.0,1,63023.26,80707.05,45139.98,51,66,43,25,31,20,0
114216,2HA,2.0,67.0,17,1.0,1228,8,8,FTTH接入,0,0,60.0,60.0,60.0,宽带,60.0,1,11921.19,5373.39,11253.23,44,36,35,29,27,27,0
113360,2HA,1.0,21.0,17,4.0,11396,50,100,FTTH接入,0,0,68.8,70.0,65.33,宽带,50.0,1,112323.77,88618.14,83692.31,51,39,32,22,23,19,0
131288,2HA,2.0,26.0,7,1.0,423,20,20,LAN接入,0,0,90.0,140.0,90.0,宽带,90.0,1,78502.83,116206.47,138974.53,37,48,52,30,30,30,0
89589,2HA,1.0,46.0,9,1.0,690,8,20,FTTH接入,0,0,90.0,90.0,90.0,宽带,90.0,1,34622.03,11821.39,35395.68,19,7,14,15,6,12,0
99080,2HA,1.0,26.0,56,2.0,1258,100,100,FTTH接入,0,0,90.0,65.81,60.0,宽带,60.0,1,101855.52,57527.71,71895.61,55,54,118,26,18,27,0
99799,2HA,2.0,60.0,49,3.0,5743,20,50,FTTH接入,0,0,83.33,133.33,83.33,宽带,108.0,1,27466.87,17270.93,1214.61,16,9,2,16,8,2,0
129403,2HA,1.0,32.0,8,3.0,6958,20,20,FTTH接入,0,0,130.0,130.0,130.0,宽带,130.0,1,67126.82,42186.81,4983.69,16,24,4,15,12,3,0
35914,2HA,1.0,35.0,42,2.0,3413,50,50,FTTH接入,0,0,120.0,120.0,120.0,宽带,90.0,0,60949.15,74057.34,54426.39,17,25,15,14,21,14,0
39950,2HA,2.0,44.0,37,1.0,2180,6,6,普通接入,0,0,82.5,82.5,82.5,宽带,90.0,1,42645.8,55420.13,44807.27,16,17,36,15,16,14,0
37574,2HA,2.0,46.0,40,2.0,2802,50,50,FTTH接入,0,1,100.0,100.0,100.0,宽带,80.0,1,26110.82,27748.69,58710.62,33,31,30,19,24,20,0
44928,2HA,1.0,50.0,30,1.0,1637,100,100,FTTH接入,0,0,249.0,50.0,50.0,宽带,50.0,1,57029.96,52493.93,55235.39,218,224,217,29,31,31,0
84085,2HA,2.0,29.0,15,2.0,4553,8,50,FTTH接入,0,0,80.0,80.0,80.0,宽带,80.0,1,109463.29,97060.89,138923.87,467,242,329,29,31,28,0
80131,2HA,1.0,40.0,16,1.0,2338,8,50,FTTH接入,0,0,80.0,80.0,80.0,宽带,80.0,1,13876.27,38420.69,12564.26,13,61,27,11,20,12,0
52566,2HA,2.0,37.0,24,1.0,1771,100,100,FTTH接入,0,1,85.0,85.0,77.0,宽带,60.0,1,249.13,373.57,257.28,19,23,19,16,16,16,0
33254,2HA,1.0,46.0,46,,1657,4,100,FTTH接入,0,0,90.0,90.0,90.0,宽带,90.0,0,33642.87,38338.84,22413.63,20,21,16,17,16,9,0
22711,2HA,1.0,27.0,104,2.0,1790,4,20,FTTH接入,0,0,80.0,80.0,80.0,宽带,80.0,0,54839.34,53729.45,52589.87,26,48,82,16,18,19,0
118854,2HA,1.0,26.0,15,3.0,2084,100,100,FTTH接入,0,0,98.0,80.0,80.0,宽带,80.0,1,80.58,94.22,80.75,195,146,154,30,30,31,0
109456,2HA,2.0,29.0,19,1.0,1126,8,50,FTTH接入,0,0,50.0,50.0,50.0,宽带,50.0,1,24286.47,31937.69,33801.04,12,21,23,12,14,13,0
115522,2HA,2.0,28.0,16,1.0,1246,8,20,FTTH接入,0,0,60.0,60.0,60.0,宽带,60.0,1,22644.66,41957.63,29069.36,15,16,15,15,16,15,0
86556,2HA,1.0,106.0,13,,477,100,100,FTTH接入,0,1,100.0,80.0,80.0,宽带,80.0,1,87502.58,41403.04,56058.72,45,29,19,20,15,17,0
90760,2HA,1.0,20.0,8,,335,8,8,普通接入,0,0,80.0,80.0,80.0,宽带,80.0,1,69471.5,95219.85,79381.74,123,124,181,31,29,30,0
87862,2HA,1.0,30.0,11,1.0,899,8,100,FTTH接入,0,0,80.0,80.0,80.0,宽带,80.0,1,92555.31,96045.71,99673.18,112,120,212,30,29,31,0
96284,2HA,1.0,25.0,3,,211,20,100,FTTH接入,0,0,127.0,128.5,130.0,宽带,130.0,0,84483.88,214.73,222.25,104,100,64,26,29,27,0
93161,2HA,1.0,20.0,4,,136,20,200,FTTH接入,0,0,130.0,130.0,127.0,宽带,130.0,0,34641.02,36723.88,22593.67,15,14,10,13,14,8,0
99572,2HA,2.0,32.0,51,2.0,2256,4,4,FTTH接入,0,0,80.0,80.0,80.0,宽带,80.0,1,42039.25,54441.63,42925.57,16,18,15,15,17,15,0
137129,2HA,1.0,29.0,4,1.0,939,50,50,FTTH接入,0,1,0.0,0.0,0.0,宽带,0.0,0,44343.77,51965.77,60037.38,22,20,29,18,16,18,0
104012,2HA,1.0,25.0,21,1.0,2097,100,100,FTTH接入,0,0,108.5,95.92,78.5,宽带,80.0,1,66542.61,90303.91,67884.02,20,40,24,16,21,19,0
