SERV_ID,PROD_INST_STATE,GENDER,AGE,IN_NET_DUR,STAR_LEVEL,SCORE_POINT,RECV_RATE,CONSOLIDATE_SPEND,RM_MODE_CD,MOBILE_USER_NUMBER,IPTV_USER_NUMBER,BRD_CHARGE_11,BRD_CHARGE_10,BRD_CHARGE_09,OFFER_NAME_LEV1,ZHU_OFFER_VALUE,IS_HY,BRD_MBL_FLUX_11,BRD_MBL_FLUX_10,BRD_MBL_FLUX_09,BRD_CNT_11,BRD_CNT_10,BRD_CNT_09,ACTIVE_DAY_11,ACTIVE_DAY_10,ACTIVE_DAY_09
112329,2HA,1.0,31.0,18,5.0,4485,8,100,FTTH接入,0,0,80.0,80.0,80.0,宽带,80.0,1,5.5,6.3,14.05,326,371,46,12,18,16
113879,2HA,2.0,28.0,17,1.0,1772,8,20,FTTH接入,0,0,80.0,80.0,80.0,宽带,80.0,1,39856.7,20131.1,29838.69,28,25,29,23,21,25
128022,2HA,1.0,44.0,9,2.0,4392,100,100,FTTH接入,0,0,133.0,130.0,130.0,宽带,130.0,1,30816.8,83276.72,83283.45,101,91,75,31,30,30
104306,2HA,1.0,52.0,21,,703,100,100,FTTH接入,0,0,79.0,50.0,50.0,宽带,50.0,1,143.99,106.7,88.52,150,191,205,29,30,30
128634,2HA,2.0,36.0,8,2.0,1429,20,20,FTTH接入,0,0,130.0,134.84,130.0,宽带,130.0,1,76152.28,61747.77,54019.03,69,57,80,30,27,30
103551,2HA,1.0,32.0,21,1.0,2067,6,6,普通接入,0,0,50.0,50.0,50.0,宽带,50.0,1,43.42,22.49,24.72,29,20,15,15,11,14
118609,2HA,1.0,34.0,15,3.0,4430,100,100,FTTH接入,0,0,95.0,110.0,80.0,宽带,80.0,1,62593.8,25677.92,28456.7,20,12,9,17,7,8
120994,2HA,2.0,40.0,14,3.0,5382,100,100,FTTH接入,0,0,86.0,108.06,110.0,宽带,80.0,1,23420.18,16597.53,5209.67,16,72,13,15,11,7
20235,2HA,2.0,60.0,110,1.0,1504,4,200,FTTH接入,0,0,50.0,50.0,50.0,宽带,50.0,1,66068.5,57080.99,48797.94,48,34,38,28,28,28
136468,2HA,1.0,40.0,5,,560,50,200,FTTH接入,0,0,160.0,160.0,160.0,宽带,160.0,0,69948.1,72463.0,67781.76,26,21,17,18,16,14
16937,2HA,1.0,38.0,118,1.0,2272,6,6,FTTH接入,0,0,80.0,80.0,80.0,宽带,80.0,1,38134.7,55761.17,77480.77,15,75,78,15,16,16
116688,2HA,2.0,36.0,16,2.0,1771,20,20,LAN接入,0,0,80.0,130.0,80.0,宽带,80.0,1,36968.55,51185.66,41497.5,53,60,53,21,28,25
131727,2HA,,,7,,212,100,200,FTTH接入,0,0,200.0,200.0,200.0,宽带,200.0,1,98504.76,75228.85,83227.55,24,20,24,18,17,17
132314,2HA,2.0,51.0,7,,306,8,8,FTTH接入,0,0,90.0,90.0,90.0,宽带,90.0,1,23516.21,28865.95,43720.13,179,104,178,26,25,29
123763,2HA,1.0,33.0,13,2.0,5152,100,100,FTTH接入,0,0,309.0,110.0,110.0,宽带,110.0,1,46193.13,33149.67,53842.67,31,35,186,16,19,21
113190,2HA,1.0,22.0,17,2.0,2060,50,50,FTTH接入,0,0,100.0,100.0,100.0,宽带,80.0,1,676.54,410.76,514.26,35,56,40,20,25,22
135655,2HA,1.0,34.0,5,4.0,1678,8,8,普通接入,0,0,90.0,90.0,90.0,宽带,90.0,1,73103.2,47015.96,49562.74,39,34,31,28,30,28
125758,2HA,2.0,39.0,11,1.0,1157,8,20,FTTH接入,0,0,90.0,90.0,90.0,宽带,90.0,1,11382.0,16004.56,11747.02,75,82,93,29,29,30
121051,2HA,1.0,21.0,14,1.0,1270,8,50,FTTH接入,0,0,90.0,88.3,88.5,宽带,90.0,0,97827.41,83681.59,107661.71,67,87,81,26,28,28
132497,2HA,2.0,51.0,7,5.0,0,50,50,FTTH接入,0,26,0.0,0.0,0.0,宽带,0.0,1,5659.91,21528.44,18489.82,25,46,26,9,20,9
133955,2HA,1.0,37.0,6,1.0,780,20,20,FTTH接入,0,0,130.0,130.0,130.0,宽带,130.0,1,28033.42,46870.04,24232.88,107,76,67,26,24,20
121291,2HA,2.0,43.0,14,1.0,1538,8,100,FTTH接入,0,0,90.0,90.0,90.0,宽带,90.0,0,96526.85,81103.91,55968.41,127,90,27,29,28,19
119320,2HA,1.0,34.0,15,1.0,3280,100,100,FTTH接入,0,1,90.0,90.0,86.0,宽带,60.0,1,64970.05,21900.77,1981.03,16,23,3,16,6,3
134499,2HA,1.0,35.0,6,6.0,10132,50,50,FTTH接入,0,1,0.0,0.0,0.0,宽带,0.0,0,21772.61,58917.69,51398.75,56,57,45,27,25,21
20758,2HA,2.0,44.0,108,1.0,3072,6,6,普通接入,0,0,80.0,80.0,80.0,宽带,80.0,1,21731.93,15928.69,22532.44,201,131,179,29,23,28
21765,2HA,2.0,34.0,106,1.0,2272,6,6,普通接入,0,0,80.0,80.0,80.0,宽带,80.0,1,21481.35,24161.37,33854.28,63,52,60,28,29,30
23085,2HA,1.0,31.0,104,2.0,3642,20,50,FTTH接入,0,0,283.33,83.33,83.33,宽带,108.0,1,59944.91,67682.16,59772.7,200,174,293,30,31,30
21379,2HA,1.0,49.0,107,1.0,2061,4,4,,0,0,82.5,82.5,82.5,宽带,90.0,1,42480.37,36.49,37.37,225,212,215,30,30,30
20691,2HA,1.0,39.0,109,7.0,29750,4,4,普通接入,0,0,80.0,80.0,80.0,宽带,80.0,1,6979.93,14642.45,15659.79,15,16,15,15,16,14
124154,2HA,2.0,62.0,12,2.0,1825,100,100,FTTH接入,0,0,289.0,107.42,90.0,宽带,90.0,1,58837.46,62418.59,79349.77,14,17,19,14,16,16
130759,2HA,1.0,22.0,7,1.0,1295,100,100,FTTH接入,0,0,329.0,130.0,130.0,宽带,130.0,1,55753.37,45323.76,80425.56,45,48,110,30,31,29
18889,2HA,1.0,44.0,113,1.0,2508,20,100,FTTH接入,0,0,238.0,80.0,80.0,宽带,80.0,1,33516.75,31276.19,30616.27,16,15,15,16,15,15
133280,2HA,,,6,,0,50,50,FTTH接入,0,1,0.0,0.0,0.0,宽带,0.0,0,3.86,21.22,0.0,9,15,0,3,5,0
128506,2HA,1.0,28.0,9,2.0,1434,20,20,FTTH接入,0,0,130.0,130.0,130.0,宽带,130.0,1,82464.44,62890.82,72959.02,64,73,66,28,24,24
134128,2HA,1.0,48.0,6,,0,50,50,FTTH接入,0,1,0.0,0.0,0.0,宽带,0.0,0,165394.7,176420.21,180218.82,73,91,84,27,31,30
132911,2HA,2.0,35.0,7,,12,50,50,FTTH接入,0,1,0.0,0.0,0.0,宽带,0.0,0,89561.13,125914.35,83337.12,59,84,62,26,30,25
134360,2HA,1.0,51.0,6,2.0,3582,50,50,FTTH接入,0,1,0.0,0.0,0.0,宽带,0.0,0,38834.02,22249.28,5977.95,18,9,7,11,9,3
21530,2HA,1.0,52.0,107,2.0,2847,8,20,FTTH接入,1,0,60.0,60.0,60.0,宽带,60.0,1,3140.72,18400.27,16930.26,149,69,66,30,29,26
